title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Dear Zindagi,movie,"Drama, Romance",2016,tt5946128,7.4,44468,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Sword Art Online the Movie: Ordinal Scale,movie,"Action, Adventure, Animation",2017,tt5544384,7.3,9250,"AT, CH, DE, IT, JP, LI, LU, SM"
Kati Kati,movie,"Drama, Fantasy",2016,tt6039442,6.6,166,"AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BS, BY, BZ, CI, CM, CR, CV, CY, DK, EE, EG, ES, FJ, FR, GB, GG, GH, GI, GQ, GR, HK, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LV, MA, MC, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NZ, PE, PH, PK, PL, PS, PT, QA, RO, RS, SC, SE, SG, SI, SK, SN, TC, TH, TT, TZ, UG, ZA, ZM, ZW"
Son of Bigfoot,movie,"Adventure, Animation, Comedy",2017,tt5715410,6.1,8333,PH
The Bride of Badrinath,movie,"Comedy, Drama, Romance",2017,tt6277440,6.1,13824,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NO, NZ, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SC, SE, SG, SI, SK, SN, SV, TC, TH, TR, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW"
Playground,movie,"Drama, Thriller",2016,tt6094760,6.2,1124,PL
The Worthy,movie,"Action, Sci-Fi, Thriller",2016,tt4943218,5.1,2238,"AD, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CZ, DE, DK, DO, DZ, EC, EE, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, ID, IE, IN, IS, IT, JM, JP, KE, KR, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, PA, PE, PF, PH, PK, PL, PT, PY, RO, RS, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW"
OK Jaanu,movie,"Drama, Romance",2017,tt5764024,5.3,5016,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NO, NZ, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SC, SE, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW"
Half Girlfriend,movie,"Drama, Romance",2017,tt5474042,4.6,8123,"AT, BO, CO, DE, DZ, EG, ES, FR, GR, KW, MA, MD, NO, PS, SE, TW, UY"
The Flower of Aleppo,movie,"Action, Drama, War",2016,tt5448246,5.7,243,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BS, BY, BZ, CA, CI, CM, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NO, NZ, OM, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
The Last Egg,movie,"Comedy, Drama",2016,tt5357902,4,136,"AD, AE, AG, AL, AO, AU, AZ, BA, BB, BG, BM, BO, BS, BY, BZ, CA, CI, CM, CV, CY, DE, DK, DZ, EE, EG, ES, FI, FJ, FR, GB, GG, GH, GI, GQ, GR, HK, HR, ID, IE, IL, IN, IS, IT, JM, JP, KE, KR, KW, LC, LI, LT, LV, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NZ, PH, PK, QA, RO, RS, SC, SE, SG, SI, SK, SN, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, ZA, ZM, ZW"
The Mercy,movie,"Adventure, Biography, Drama",2018,tt3319730,6,9889,"BM, GB, GG, GI, IE, TC"
Jasper Jones,movie,"Drama, Mystery, Thriller",2017,tt5091014,6.5,3789,"AU, FJ, NZ"
iBoy,movie,"Action, Crime, Sci-Fi",2017,tt3171832,5.9,24623,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
